"FacilityID","FacilityName","Address","City","State","ZIPCode","CountyName","PhoneNumber","Condition","MeasureID","MeasureName","STTag","Score","Sample","Footnote","StartDate","EndDate"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","89","1621",NA,"04/01/2022","06/30/2022"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","77","1649",NA,"10/01/2021","03/31/2022"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Emergency Department","OP-22","Left before being seen","Percentage","0","11851",NA,"01/01/2021","12/31/2021"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","5","01/01/2021","12/31/2021"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","(515) 699-5999","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","34","35",NA,"07/01/2021","06/30/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","91","2088",NA,"04/01/2022","06/30/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","66","2168",NA,"10/01/2021","03/31/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Emergency Department","OP-22","Left before being seen","Percentage","0","7637",NA,"01/01/2021","12/31/2021"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","5","01/01/2021","12/31/2021"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","(319) 338-0581","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","57","14",NA,"07/01/2021","06/30/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","86","1884",NA,"04/01/2022","06/30/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","81","1919",NA,"10/01/2021","03/31/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Emergency Department","OP-22","Left before being seen","Percentage","1","13350",NA,"01/01/2021","12/31/2021"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","5","01/01/2021","12/31/2021"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","(913) 682-2000","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","Not Available","Not Available","1","07/01/2021","06/30/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Emergency Department","EDV","Emergency department volume","Text","Not Available",NA,"5","01/01/2021","12/31/2021"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","Not Available","Not Available","5","04/01/2022","06/30/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","Not Available","Not Available","5","10/01/2021","03/31/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5, 24","07/01/2021","06/30/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5, 24","07/01/2021","06/30/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5, 24","07/01/2021","06/30/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Emergency Department","OP-22","Left before being seen","Percentage","Not Available","Not Available","5, 24","01/01/2021","12/31/2021"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5, 24","07/01/2021","06/30/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","5, 24","01/01/2021","12/31/2021"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5, 24","07/01/2021","06/30/2022"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","(913) 682-2000","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","Not Available","Not Available","5, 24","07/01/2021","06/30/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","86","1488",NA,"04/01/2022","06/30/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","80","1477",NA,"10/01/2021","03/31/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Emergency Department","OP-22","Left before being seen","Percentage","0","10755",NA,"01/01/2021","12/31/2021"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","5","01/01/2021","12/31/2021"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","(316) 685-2221","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","32","50",NA,"07/01/2021","06/30/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","91","2218",NA,"04/01/2022","06/30/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","84","2277",NA,"10/01/2021","03/31/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Emergency Department","OP-22","Left before being seen","Percentage","2","19695",NA,"01/01/2021","12/31/2021"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","Not Available","Not Available","1","01/01/2021","12/31/2021"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","(502) 287-4000","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","38","48",NA,"07/01/2021","06/30/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Emergency Department","EDV","Emergency department volume","Text","low",NA,NA,"01/01/2021","12/31/2021"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","86","2202",NA,"04/01/2022","06/30/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","65","2286",NA,"10/01/2021","03/31/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Emergency Department","OP-22","Left before being seen","Percentage","1","17624",NA,"01/01/2021","12/31/2021"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","94","16",NA,"01/01/2021","12/31/2021"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","(859) 233-4511","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","33","45",NA,"07/01/2021","06/30/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Emergency Department","EDV","Emergency department volume","Text","Not Available",NA,"5","01/01/2021","12/31/2021"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","86","1153",NA,"04/01/2022","06/30/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","76","1238",NA,"10/01/2021","03/31/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Emergency Department","OP-22","Left before being seen","Percentage","Not Available","Not Available","5","01/01/2021","12/31/2021"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","100","26",NA,"01/01/2021","12/31/2021"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","(318) 473-0010","Sepsis Care","SEP-1","Appropriate care for severe sepsis and septic shock","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Emergency Department","EDV","Emergency department volume","Text","medium",NA,NA,"01/01/2021","12/31/2021"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Healthcare Personnel Vaccination","HCP-COVID-19","Percentage of healthcare personnel who completed COVID-19 primary vaccination series","Percentage","94","2459",NA,"04/01/2022","06/30/2022"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Healthcare Personnel Vaccination","IMM-3","Healthcare workers given influenza vaccination","Percentage","58","2576",NA,"10/01/2021","03/31/2022"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Emergency Department","OP-18c","Average time patients spent in the emergency department before being sent home","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Emergency Department","OP-22","Left before being seen","Percentage","1","22226",NA,"01/01/2021","12/31/2021"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","5","07/01/2021","06/30/2022"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Colonoscopy care","OP-29","Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Percentage","90","39",NA,"01/01/2021","12/31/2021"
"19047F","SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM","2400 CANAL STREET","NEW ORLEANS","LA","70119","ORLEANS","(800) 935-8387","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","5","07/01/2021","06/30/2022"
