CountyState,FIPSCode,MothersRace,Year,TeenBirths,TeenFemalePopulation,TeenFertilityRate,AveragePrenatalVisits
"Randall County, TX",48381,Black or African American,2021,10,252,39.68,10.4
"Randall County, TX",48381,White,2021,78,4676,16.68,9.73
"Smith County, TX",48423,Black or African American,2021,43,1816,23.68,8
"Smith County, TX",48423,White,2021,136,6144,22.14,8.79
"Tarrant County, TX",48439,Black or African American,2021,376,15430,24.37,7.1
"Tarrant County, TX",48439,White,2021,911,53706,16.96,7.55
"Taylor County, TX",48441,Black or African American,2021,20,560,35.71,8.4
"Taylor County, TX",48441,White,2021,88,4622,19.04,8.97
"Tom Green County, TX",48451,White,2021,83,3921,21.17,11.26
"Travis County, TX",48453,Black or African American,2021,78,3755,20.77,9.45
"Travis County, TX",48453,White,2021,533,29644,17.98,9.52
"Webb County, TX",48479,White,2021,421,11256,37.4,8.44
"Wichita County, TX",48485,Black or African American,2021,20,527,37.95,10.4
"Wichita County, TX",48485,White,2021,85,3643,23.33,10.34
"Williamson County, TX",48491,Black or African American,2021,20,1698,11.78,10.42
"Williamson County, TX",48491,White,2021,144,16084,8.95,9.78
"Unidentified Counties, TX",48999,American Indian or Alaska Native,2021,18,2019,8.92,9.5
"Unidentified Counties, TX",48999,Black or African American,2021,419,15097,27.75,9.62
"Unidentified Counties, TX",48999,Native Hawaiian or Other Pacific Islander,2021,10,255,39.22,8.1
"Unidentified Counties, TX",48999,White,2021,3834,135671,28.26,9.83
"Cache County, UT",49005,White,2021,31,6693,4.63,10.5
"Davis County, UT",49011,White,2021,83,13172,6.3,10.9
"Salt Lake County, UT",49035,American Indian or Alaska Native,2021,11,668,16.47,7.8
"Salt Lake County, UT",49035,Black or African American,2021,16,1129,14.17,11
"Salt Lake County, UT",49035,Native Hawaiian or Other Pacific Islander,2021,15,921,16.29,8.27
"Salt Lake County, UT",49035,White,2021,457,35143,13,9.68
"Utah County, UT",49049,White,2021,191,30196,6.33,10.17
"Washington County, UT",49053,White,2021,64,6138,10.43,9.46
"Weber County, UT",49057,White,2021,111,8540,13,10.09
"Unidentified Counties, UT",49999,American Indian or Alaska Native,2021,15,721,20.8,8.6
"Unidentified Counties, UT",49999,White,2021,189,18760,10.07,11.02
"Chittenden County, VT",50007,White,2021,18,6109,2.95,11.11
"Unidentified Counties, VT",50999,White,2021,111,12648,8.78,11.49
"Arlington County, VA",51013,White,2021,22,3563,6.17,9.05
"Chesterfield County, VA",51041,Black or African American,2021,42,4206,9.99,9.74
"Chesterfield County, VA",51041,White,2021,84,7445,11.28,10.39
"Fairfax County, VA",51059,Black or African American,2021,58,4171,13.91,9.55
"Fairfax County, VA",51059,White,2021,166,21803,7.61,8.85
"Henrico County, VA",51087,Black or African American,2021,39,3442,11.33,9.97
"Henrico County, VA",51087,White,2021,30,4944,6.07,9.37
"Loudoun County, VA",51107,White,2021,40,9978,4.01,8.03
"Prince William County, VA",51153,Black or African American,2021,49,3673,13.34,9.88
"Prince William County, VA",51153,White,2021,124,10098,12.28,8.02
"Spotsylvania County, VA",51177,Black or African American,2021,16,914,17.51,10
"Spotsylvania County, VA",51177,White,2021,32,3341,9.58,10.25
"Stafford County, VA",51179,Black or African American,2021,14,1265,11.07,7.71
"Stafford County, VA",51179,White,2021,30,3832,7.83,11.87
"Alexandria city, VA",51510,White,2021,25,1880,13.3,8.84
"Chesapeake city, VA",51550,Black or African American,2021,40,2591,15.44,12.45
"Chesapeake city, VA",51550,White,2021,34,4575,7.43,12.06
"Hampton city, VA",51650,Black or African American,2021,47,3080,15.26,10.45
"Hampton city, VA",51650,White,2021,15,1099,13.65,10.27
"Newport News city, VA",51700,Black or African American,2021,78,2656,29.37,9.22
"Newport News city, VA",51700,White,2021,46,2928,15.71,8.24
"Norfolk city, VA",51710,Black or African American,2021,78,3849,20.27,11.6
"Norfolk city, VA",51710,White,2021,56,2611,21.45,10.95
"Richmond city, VA",51760,Black or African American,2021,106,3491,30.36,9.52
"Richmond city, VA",51760,White,2021,57,2924,19.49,8.65
"Virginia Beach city, VA",51810,Black or African American,2021,53,3102,17.09,11.89
"Virginia Beach city, VA",51810,White,2021,53,7901,6.71,9.9
"Unidentified Counties, VA",51999,Black or African American,2021,462,20122,22.96,10.43
"Unidentified Counties, VA",51999,White,2021,1130,88159,12.82,10.43
"Benton County, WA",53005,White,2021,93,6073,15.31,10.08
"Clark County, WA",53011,Native Hawaiian or Other Pacific Islander,2021,16,218,73.39,6.33
"Clark County, WA",53011,White,2021,124,12849,9.65,10.64
"Cowlitz County, WA",53015,White,2021,38,2842,13.37,12.08
"King County, WA",53033,American Indian or Alaska Native,2021,10,734,13.62,6.78
"King County, WA",53033,Asian,2021,12,11846,1.01,9.45
"King County, WA",53033,Black or African American,2021,60,5099,11.77,9.73
"King County, WA",53033,Native Hawaiian or Other Pacific Islander,2021,17,810,20.99,6.69
"King County, WA",53033,White,2021,190,35713,5.32,10.22
"Kitsap County, WA",53035,White,2021,47,5233,8.98,7.7
"Pierce County, WA",53053,American Indian or Alaska Native,2021,12,616,19.48,8.42
"Pierce County, WA",53053,Asian,2021,10,1787,5.6,8.7
"Pierce County, WA",53053,Black or African American,2021,38,2041,18.62,8.58
"Pierce County, WA",53053,Native Hawaiian or Other Pacific Islander,2021,20,668,29.94,8.4
"Pierce County, WA",53053,White,2021,193,17863,10.8,9.03
"Skagit County, WA",53057,White,2021,44,3052,14.42,8.74
"Snohomish County, WA",53061,White,2021,115,16282,7.06,10.62
"Spokane County, WA",53063,White,2021,133,14106,9.43,9.78
"Thurston County, WA",53067,White,2021,66,6005,10.99,10.6
"Whatcom County, WA",53073,American Indian or Alaska Native,2021,10,256,39.06,8.1
"Whatcom County, WA",53073,White,2021,31,6200,5,9.64
"Yakima County, WA",53077,American Indian or Alaska Native,2021,17,759,22.4,8.71
"Yakima County, WA",53077,Black or African American,2021,10,170,58.82,10.9
"Yakima County, WA",53077,White,2021,164,8322,19.71,9.9
"Unidentified Counties, WA",53999,American Indian or Alaska Native,2021,31,1243,24.94,9.67
"Unidentified Counties, WA",53999,Asian,2021,10,826,12.11,9.9
"Unidentified Counties, WA",53999,Black or African American,2021,20,586,34.13,9.55
"Unidentified Counties, WA",53999,White,2021,454,31136,14.58,10.09
"Berkeley County, WV",54003,White,2021,46,2957,15.56,11.04
"Kanawha County, WV",54039,Black or African American,2021,13,493,26.37,10.15
"Kanawha County, WV",54039,White,2021,91,4097,22.21,11.8
"Unidentified Counties, WV",54999,Black or African American,2021,17,1396,12.18,9.18
"Unidentified Counties, WV",54999,White,2021,856,39917,21.44,10.89
"Brown County, WI",55009,American Indian or Alaska Native,2021,14,374,37.43,11.93
"Brown County, WI",55009,White,2021,85,7536,11.28,12.87
"Dane County, WI",55025,Black or African American,2021,40,1429,27.99,9.97
"Dane County, WI",55025,White,2021,54,14879,3.63,9.73
"Fond du Lac County, WI",55039,White,2021,27,2963,9.11,11.74
"Kenosha County, WI",55059,Black or African American,2021,23,573,40.14,9.55
"Kenosha County, WI",55059,White,2021,38,4771,7.96,11.94
"La Crosse County, WI",55063,White,2021,20,4540,4.41,10.2
"Marathon County, WI",55073,White,2021,23,3479,6.61,10.48
"Milwaukee County, WI",55079,Asian,2021,27,1660,16.27,8.52
"Milwaukee County, WI",55079,Black or African American,2021,388,9738,39.84,9.03
"Milwaukee County, WI",55079,White,2021,185,17052,10.85,9.84
"Outagamie County, WI",55087,White,2021,29,5245,5.53,12.37
"Racine County, WI",55101,Black or African American,2021,47,882,53.29,7.91
"Racine County, WI",55101,White,2021,50,4664,10.72,10.02
"Rock County, WI",55105,Black or African American,2021,11,351,31.34,10
"Rock County, WI",55105,White,2021,53,4538,11.68,11.83
"Sheboygan County, WI",55117,White,2021,22,2916,7.54,10.59
"Walworth County, WI",55127,White,2021,23,3578,6.43,10.61
"Washington County, WI",55131,White,2021,14,3793,3.69,10.14
"Waukesha County, WI",55133,White,2021,35,11167,3.13,12.83
"Winnebago County, WI",55139,White,2021,35,5065,6.91,11.89
"Unidentified Counties, WI",55999,American Indian or Alaska Native,2021,26,1384,18.79,9.35
"Unidentified Counties, WI",55999,Black or African American,2021,12,939,12.78,9.92
"Unidentified Counties, WI",55999,White,2021,459,59949,7.66,10.66
"Unidentified Counties, WY",56999,American Indian or Alaska Native,2021,35,679,51.55,8.66
"Unidentified Counties, WY",56999,White,2021,253,16658,15.19,10.79
"Baldwin County, AL",01003,Black or African American,2020,20,791,25.28,11.9
"Baldwin County, AL",01003,White,2020,81,5467,14.82,10.33
"Calhoun County, AL",01015,Black or African American,2020,24,1039,23.1,9.58
"Calhoun County, AL",01015,White,2020,58,2456,23.62,9.66
"Etowah County, AL",01055,Black or African American,2020,20,532,37.59,9.1
"Etowah County, AL",01055,White,2020,85,2205,38.55,8.39
"Houston County, AL",01069,Black or African American,2020,63,1020,61.76,10.44
"Houston County, AL",01069,White,2020,50,1916,26.1,10.72
"Jefferson County, AL",01073,Black or African American,2020,277,9588,28.89,8.97
"Jefferson County, AL",01073,White,2020,126,9700,12.99,9.97
"Lee County, AL",01081,Black or African American,2020,31,1336,23.2,10.55
"Lee County, AL",01081,White,2020,54,4896,11.03,10.19
"Madison County, AL",01089,Black or African American,2020,102,3623,28.15,8.96
"Madison County, AL",01089,White,2020,100,7039,14.21,8.6
"Mobile County, AL",01097,Black or African American,2020,225,5137,43.8,9.36
"Mobile County, AL",01097,White,2020,128,6679,19.16,10.38
"Montgomery County, AL",01101,Black or African American,2020,188,4617,40.72,9.13
"Montgomery County, AL",01101,White,2020,54,1886,28.63,8.68
"Morgan County, AL",01103,Black or African American,2020,19,509,37.33,10.11
"Morgan County, AL",01103,White,2020,85,2871,29.61,8.49
"Shelby County, AL",01117,Black or African American,2020,13,1126,11.55,10.38
"Shelby County, AL",01117,White,2020,59,5807,10.16,10.51
"Tuscaloosa County, AL",01125,Black or African American,2020,87,2920,29.79,7.84
"Tuscaloosa County, AL",01125,White,2020,86,5715,15.05,6.9
"Unidentified Counties, AL",01999,American Indian or Alaska Native,2020,11,613,17.94,6.55
"Unidentified Counties, AL",01999,Black or African American,2020,414,13838,29.92,9.52
"Unidentified Counties, AL",01999,White,2020,1229,41855,29.36,9.65
"Anchorage Borough, AK",02020,American Indian or Alaska Native,2020,13,945,13.76,10.92
"Anchorage Borough, AK",02020,Native Hawaiian or Other Pacific Islander,2020,19,417,45.56,6.21
"Anchorage Borough, AK",02020,White,2020,38,4057,9.37,10.82
"Unidentified Counties, AK",02999,American Indian or Alaska Native,2020,130,3396,38.28,8.73
"Unidentified Counties, AK",02999,White,2020,89,7337,12.13,10.45
"Cochise County, AZ",04003,White,2020,88,3088,28.5,8.09
"Coconino County, AZ",04005,American Indian or Alaska Native,2020,33,1671,19.75,7.78
"Coconino County, AZ",04005,White,2020,20,4940,4.05,9.07
"Maricopa County, AZ",04013,American Indian or Alaska Native,2020,111,5147,21.57,8.43
"Maricopa County, AZ",04013,Asian,2020,16,6183,2.59,7.5
"Maricopa County, AZ",04013,Black or African American,2020,227,10735,21.15,9.46
"Maricopa County, AZ",04013,White,2020,1904,118263,16.1,9.68
"Mohave County, AZ",04015,White,2020,81,4079,19.86,10.66
"Navajo County, AZ",04017,American Indian or Alaska Native,2020,60,1994,30.09,8.49
"Navajo County, AZ",04017,White,2020,33,1510,21.85,10.8
"Pima County, AZ",04019,American Indian or Alaska Native,2020,41,1824,22.48,5.61
"Pima County, AZ",04019,Black or African American,2020,19,1604,11.85,9.16
"Pima County, AZ",04019,White,2020,413,27445,15.05,8.65
"Pinal County, AZ",04021,American Indian or Alaska Native,2020,24,1149,20.89,10.25
"Pinal County, AZ",04021,Black or African American,2020,11,900,12.22,13.73
"Pinal County, AZ",04021,White,2020,195,10527,18.52,11
"Yavapai County, AZ",04025,White,2020,100,4613,21.68,10.37
"Yuma County, AZ",04027,White,2020,178,6549,27.18,7.48
"Unidentified Counties, AZ",04999,American Indian or Alaska Native,2020,69,2976,23.19,7.83
"Unidentified Counties, AZ",04999,White,2020,140,4520,30.97,8.76
"Benton County, AR",05007,White,2020,147,8184,17.96,9.58
"Faulkner County, AR",05045,Black or African American,2020,20,692,28.9,9.55
"Faulkner County, AR",05045,White,2020,68,3774,18.02,10.54
"Pulaski County, AR",05119,Black or African American,2020,229,5269,43.46,8.26
"Pulaski County, AR",05119,White,2020,99,5115,19.35,7.98
"Saline County, AR",05125,Black or African American,2020,11,433,25.4,7.55
"Saline County, AR",05125,White,2020,36,2984,12.06,10.06
"Sebastian County, AR",05131,Black or African American,2020,11,294,37.41,9.27
"Sebastian County, AR",05131,White,2020,106,3127,33.9,8.3
"Washington County, AR",05143,Black or African American,2020,10,405,24.69,9.3
"Washington County, AR",05143,Native Hawaiian or Other Pacific Islander,2020,18,345,52.17,5.06
"Washington County, AR",05143,White,2020,165,7975,20.69,9.55
"Unidentified Counties, AR",05999,Black or African American,2020,475,10314,46.05,8.84
"Unidentified Counties, AR",05999,Native Hawaiian or Other Pacific Islander,2020,11,100,110,9.55
"Unidentified Counties, AR",05999,White,2020,1184,40720,29.08,10.11
"Alameda County, CA",06001,Asian,2020,11,14041,0.78,9.18
"Alameda County, CA",06001,Black or African American,2020,54,4809,11.23,10.87
"Alameda County, CA",06001,White,2020,224,22144,10.12,10.14
"Butte County, CA",06007,White,2020,49,6134,7.99,9.33
"Contra Costa County, CA",06013,Black or African American,2020,46,3454,13.32,9.33
"Contra Costa County, CA",06013,White,2020,182,22275,8.17,10.14
"El Dorado County, CA",06017,White,2020,19,4456,4.26,9.63
"Fresno County, CA",06019,Asian,2020,36,3698,9.73,12.03
"Fresno County, CA",06019,Black or African American,2020,66,2055,32.12,11.12
"Fresno County, CA",06019,White,2020,584,27030,21.61,11.62
"Humboldt County, CA",06023,White,2020,30,3273,9.17,12.63
"Imperial County, CA",06025,White,2020,120,5951,20.16,7.29
"Kern County, CA",06029,American Indian or Alaska Native,2020,11,954,11.53,10.9
"Kern County, CA",06029,Black or African American,2020,43,2079,20.68,11.07
"Kern County, CA",06029,White,2020,624,26681,23.39,11.24
"Kings County, CA",06031,White,2020,105,4047,25.95,12.67
"Los Angeles County, CA",06037,American Indian or Alaska Native,2020,16,5177,3.09,10.94
"Los Angeles County, CA",06037,Asian,2020,44,36004,1.22,11.7
"Los Angeles County, CA",06037,Black or African American,2020,343,25849,13.27,9.9
"Los Angeles County, CA",06037,White,2020,2527,216098,11.69,10.75
"Madera County, CA",06039,White,2020,104,4759,21.85,9.05
"Marin County, CA",06041,White,2020,26,6146,4.23,7.46
"Merced County, CA",06047,White,2020,191,9588,19.92,9.28
"Monterey County, CA",06053,White,2020,293,12547,23.35,10.86
"Napa County, CA",06055,White,2020,22,3294,6.68,12.23
"Orange County, CA",06059,Black or African American,2020,17,2237,7.6,10.94
"Orange County, CA",06059,White,2020,660,69166,9.54,11.05
"Placer County, CA",06061,White,2020,42,9399,4.47,11.46
"Riverside County, CA",06065,Asian,2020,21,6234,3.37,10.45
"Riverside County, CA",06065,Black or African American,2020,63,6346,9.93,10.93
"Riverside County, CA",06065,White,2020,866,67208,12.89,10.25
"Sacramento County, CA",06067,Asian,2020,36,7807,4.61,11.79
"Sacramento County, CA",06067,Black or African American,2020,87,5700,15.26,9.78
"Sacramento County, CA",06067,Native Hawaiian or Other Pacific Islander,2020,14,649,21.57,9.92
"Sacramento County, CA",06067,White,2020,314,26826,11.71,10.61
"San Bernardino County, CA",06071,Asian,2020,19,4633,4.1,10.28
"San Bernardino County, CA",06071,Black or African American,2020,134,7008,19.12,10.4
"San Bernardino County, CA",06071,White,2020,892,57480,15.52,10.37
"San Diego County, CA",06073,Asian,2020,37,12366,2.99,8.49
"San Diego County, CA",06073,Black or African American,2020,50,5296,9.44,8.62
"San Diego County, CA",06073,White,2020,760,70770,10.74,9.89
"San Francisco County, CA",06075,Black or African American,2020,10,1310,7.63,7.1
"San Francisco County, CA",06075,White,2020,58,7779,7.46,9.02
"San Joaquin County, CA",06077,Asian,2020,36,4808,7.49,10.52
"San Joaquin County, CA",06077,Black or African American,2020,41,2338,17.54,10.91
"San Joaquin County, CA",06077,White,2020,319,17264,18.48,10.67
"San Luis Obispo County, CA",06079,White,2020,60,8906,6.74,12.16
"San Mateo County, CA",06081,Asian,2020,13,4639,2.8,10.62
"San Mateo County, CA",06081,White,2020,102,12055,8.46,10.95
"Santa Barbara County, CA",06083,White,2020,328,14875,22.05,11.36
"Santa Clara County, CA",06085,Asian,2020,16,19003,0.84,9.5
"Santa Clara County, CA",06085,White,2020,290,29786,9.74,10.51
"Santa Cruz County, CA",06087,White,2020,71,8937,7.94,11.52
"Shasta County, CA",06089,White,2020,56,4060,13.79,9.84
"Solano County, CA",06095,Black or African American,2020,24,1779,13.49,8.29
"Solano County, CA",06095,White,2020,94,7146,13.15,9.99
"Sonoma County, CA",06097,White,2020,99,11882,8.33,10.82
"Stanislaus County, CA",06099,White,2020,290,16037,18.08,10.5
"Tulare County, CA",06107,American Indian or Alaska Native,2020,15,580,25.86,11.13
"Tulare County, CA",06107,White,2020,383,16290,23.51,11.07
"Ventura County, CA",06111,White,2020,286,22345,12.8,10.32
"Yolo County, CA",06113,White,2020,55,7240,7.6,11.75
"Unidentified Counties, CA",06999,American Indian or Alaska Native,2020,26,1215,21.4,10.24
"Unidentified Counties, CA",06999,Asian,2020,21,1100,19.09,9.21
"Unidentified Counties, CA",06999,Black or African American,2020,11,455,24.18,10.55
"Unidentified Counties, CA",06999,White,2020,299,20702,14.44,10.2
"Adams County, CO",08001,Black or African American,2020,18,734,24.52,7.47
"Adams County, CO",08001,White,2020,245,14753,16.61,8.97
"Arapahoe County, CO",08005,Black or African American,2020,53,2531,20.94,8.76
"Arapahoe County, CO",08005,White,2020,170,14043,12.11,8.45
"Boulder County, CO",08013,White,2020,59,11084,5.32,8.6
"Denver County, CO",08031,Black or African American,2020,53,2215,23.93,8.57
"Denver County, CO",08031,White,2020,253,13337,18.97,9.17
"Douglas County, CO",08035,White,2020,28,11302,2.48,9.11
"El Paso County, CO",08041,Black or African American,2020,36,1666,21.61,7.33
"El Paso County, CO",08041,White,2020,269,17819,15.1,7.89
"Jefferson County, CO",08059,White,2020,83,13591,6.11,8.76
"Larimer County, CO",08069,White,2020,78,11544,6.76,10.62
"Mesa County, CO",08077,White,2020,75,4387,17.1,10.29
"Pueblo County, CO",08101,White,2020,99,4522,21.89,12
"Weld County, CO",08123,White,2020,179,10762,16.63,9.42
"Unidentified Counties, CO",08999,American Indian or Alaska Native,2020,12,812,14.78,8.5
"Unidentified Counties, CO",08999,White,2020,301,21638,13.91,9.53
"Fairfield County, CT",09001,Black or African American,2020,61,4570,13.35,10.81
"Fairfield County, CT",09001,White,2020,169,24194,6.99,10.94
"Hartford County, CT",09003,Black or African American,2020,68,5083,13.38,10.61
"Hartford County, CT",09003,White,2020,159,19197,8.28,11.51
"Litchfield County, CT",09005,White,2020,18,4367,4.12,10.72
"New Haven County, CT",09009,American Indian or Alaska Native,2020,11,176,62.5,8.91
"New Haven County, CT",09009,Black or African American,2020,74,4948,14.96,11.53
"New Haven County, CT",09009,White,2020,163,20268,8.04,11.04
"New London County, CT",09011,Black or African American,2020,11,609,18.06,8.45
"New London County, CT",09011,White,2020,40,6074,6.59,11.22
"Tolland County, CT",09013,White,2020,11,5958,1.85,11
"Windham County, CT",09015,White,2020,29,3358,8.64,11.76
"Kent County, DE",10001,Black or African American,2020,40,2401,16.66,8.85
"Kent County, DE",10001,White,2020,43,3156,13.62,10.75
"New Castle County, DE",10003,Black or African American,2020,101,5076,19.9,8.94
"New Castle County, DE",10003,White,2020,79,11468,6.89,9.9
"Sussex County, DE",10005,Black or African American,2020,33,964,34.23,10.24
"Sussex County, DE",10005,White,2020,110,3957,27.8,8.49
"District of Columbia, DC",11001,Black or African American,2020,250,9749,25.64,8.13
"District of Columbia, DC",11001,White,2020,48,7828,6.13,8.88
"Alachua County, FL",12001,Black or African American,2020,69,2465,27.99,8.64
"Alachua County, FL",12001,White,2020,36,7589,4.74,9.52
"Bay County, FL",12005,Black or African American,2020,25,638,39.18,9.55
"Bay County, FL",12005,White,2020,95,3409,27.87,8.76
"Brevard County, FL",12009,Black or African American,2020,50,2268,22.05,7.52
"Brevard County, FL",12009,White,2020,144,11302,12.74,8.59
"Broward County, FL",12011,Black or African American,2020,319,19781,16.13,8.92
"Broward County, FL",12011,White,2020,165,29803,5.54,8.73
"Charlotte County, FL",12015,White,2020,46,2582,17.82,9.76
"Citrus County, FL",12017,White,2020,59,2630,22.43,9.38
"Clay County, FL",12019,Black or African American,2020,16,1055,15.17,7.07
"Clay County, FL",12019,White,2020,53,5150,10.29,8.77
"Collier County, FL",12021,Black or African American,2020,15,1044,14.37,7.47
"Collier County, FL",12021,White,2020,154,7442,20.69,10.22
"Duval County, FL",12031,Asian,2020,10,1242,8.05,9.12
"Duval County, FL",12031,Black or African American,2020,327,10245,31.92,6.75
"Duval County, FL",12031,White,2020,253,13454,18.8,7.28
"Escambia County, FL",12033,Black or African American,2020,146,2706,53.95,8.54
"Escambia County, FL",12033,White,2020,102,5893,17.31,9.33
"Hernando County, FL",12053,Black or African American,2020,11,415,26.51,8.8
"Hernando County, FL",12053,White,2020,72,4260,16.9,9.46
"Hillsborough County, FL",12057,Black or African American,2020,265,9319,28.44,9
"Hillsborough County, FL",12057,White,2020,467,30820,15.15,8.68
"Indian River County, FL",12061,Black or African American,2020,13,489,26.58,11.08
"Indian River County, FL",12061,White,2020,40,2662,15.03,10.32
"Lake County, FL",12069,Black or African American,2020,49,1486,32.97,8.3
"Lake County, FL",12069,White,2020,98,6920,14.16,9.04
"Lee County, FL",12071,Black or African American,2020,54,2552,21.16,9.32
"Lee County, FL",12071,White,2020,281,15092,18.62,9.16
"Leon County, FL",12073,Black or African American,2020,100,5116,19.55,9.68
"Leon County, FL",12073,White,2020,44,7815,5.63,9.6
"Manatee County, FL",12081,Black or African American,2020,49,1299,37.72,8.48
"Manatee County, FL",12081,White,2020,156,7538,20.7,10.09
"Marion County, FL",12083,Black or African American,2020,67,1691,39.62,9.34
"Marion County, FL",12083,White,2020,144,6728,21.4,8.4
"Martin County, FL",12085,White,2020,54,3011,17.93,8.87
"Miami-Dade County, FL",12086,Black or African American,2020,282,15299,18.43,9.36
"Miami-Dade County, FL",12086,White,2020,526,56906,9.24,10
"Okaloosa County, FL",12091,Black or African American,2020,19,691,27.5,7.63
"Okaloosa County, FL",12091,White,2020,66,4003,16.49,10.78
"Orange County, FL",12095,Black or African American,2020,243,11048,21.99,6.18
"Orange County, FL",12095,White,2020,350,28920,12.1,8.72
"Osceola County, FL",12097,Black or African American,2020,42,1995,21.05,11
"Osceola County, FL",12097,White,2020,141,9821,14.36,11.69
"Palm Beach County, FL",12099,Black or African American,2020,205,10676,19.2,9.04
"Palm Beach County, FL",12099,White,2020,306,26144,11.7,8.12
"Pasco County, FL",12101,Black or African American,2020,22,1355,16.24,10
"Pasco County, FL",12101,White,2020,177,12583,14.07,9.65
"Pinellas County, FL",12103,Black or African American,2020,129,3412,37.81,9.85
"Pinellas County, FL",12103,White,2020,144,15272,9.43,10.08
"Polk County, FL",12105,Black or African American,2020,116,4327,26.81,9.11
"Polk County, FL",12105,White,2020,289,16451,17.57,9.4
"St. Johns County, FL",12109,Black or African American,2020,14,504,27.78,9.5
"St. Johns County, FL",12109,White,2020,33,7249,4.55,10.32
"St. Lucie County, FL",12111,Black or African American,2020,53,2620,20.23,8.92
"St. Lucie County, FL",12111,White,2020,85,5287,16.08,9.35
"Santa Rosa County, FL",12113,White,2020,72,4422,16.28,10.31
"Sarasota County, FL",12115,Black or African American,2020,20,681,29.37,8.25
"Sarasota County, FL",12115,White,2020,66,7700,8.57,9.98
"Seminole County, FL",12117,Black or African American,2020,45,2098,21.45,8.68
"Seminole County, FL",12117,White,2020,78,10075,7.74,9.18
"Volusia County, FL",12127,Black or African American,2020,66,2769,23.84,9.89
"Volusia County, FL",12127,White,2020,169,10151,16.65,11.03
"Unidentified Counties, FL",12999,Black or African American,2020,179,5317,33.67,9.04
"Unidentified Counties, FL",12999,White,2020,649,25260,25.69,9.53
"Bartow County, GA",13015,Black or African American,2020,10,430,23.26,9.9
"Bartow County, GA",13015,White,2020,61,2747,22.21,10.85
"Bibb County, GA",13021,Black or African American,2020,136,3367,40.39,11.2
"Bibb County, GA",13021,White,2020,33,1751,18.85,9.79
"Carroll County, GA",13045,Black or African American,2020,23,1354,16.99,9.87
"Carroll County, GA",13045,White,2020,83,3402,24.4,11.58
"Chatham County, GA",13051,Black or African American,2020,120,4813,24.93,8.03
"Chatham County, GA",13051,White,2020,57,4114,13.86,6.86
"Cherokee County, GA",13057,White,2020,68,7437,9.14,8.32
"Clarke County, GA",13059,Black or African American,2020,35,1472,23.78,9.69
"Clarke County, GA",13059,White,2020,24,4832,4.97,11.5
"Clayton County, GA",13063,Black or African American,2020,179,7885,22.7,8.59
"Clayton County, GA",13063,White,2020,55,1993,27.6,8.79
"Cobb County, GA",13067,Black or African American,2020,84,7754,10.83,11.99
"Cobb County, GA",13067,White,2020,158,14894,10.61,11.97
"Columbia County, GA",13073,Black or African American,2020,22,1185,18.57,10.36
"Columbia County, GA",13073,White,2020,30,3538,8.48,10.1
"Coweta County, GA",13077,Black or African American,2020,18,1064,16.92,10.41
"Coweta County, GA",13077,White,2020,38,3655,10.4,10.79
"DeKalb County, GA",13089,Asian,2020,18,1368,13.16,5.67
"DeKalb County, GA",13089,Black or African American,2020,251,12405,20.23,8.22
"DeKalb County, GA",13089,White,2020,183,7094,25.8,8.81
"Douglas County, GA",13097,Black or African American,2020,41,3012,13.61,9.05
"Douglas County, GA",13097,White,2020,35,2003,17.47,10.66
"Fayette County, GA",13113,White,2020,15,2614,5.74,10.13
"Forsyth County, GA",13117,White,2020,29,7261,3.99,10.21
"Fulton County, GA",13121,Black or African American,2020,365,17186,21.24,7.53
"Fulton County, GA",13121,White,2020,78,14107,5.53,9.55
"Gwinnett County, GA",13135,Black or African American,2020,93,11621,8,10.24
"Gwinnett County, GA",13135,White,2020,280,17715,15.81,9.9
"Hall County, GA",13139,White,2020,144,5934,24.27,10.04
"Henry County, GA",13151,Black or African American,2020,64,4981,12.85,8.67
"Henry County, GA",13151,White,2020,35,3384,10.34,8.31
"Houston County, GA",13153,Black or African American,2020,56,1979,28.3,8.77
"Houston County, GA",13153,White,2020,63,2769,22.75,8.71
"Lowndes County, GA",13185,Black or African American,2020,68,2137,31.82,10.84
"Lowndes County, GA",13185,White,2020,57,2434,23.42,9.63
"Muscogee County, GA",13215,Black or African American,2020,115,3166,36.32,9.42
"Muscogee County, GA",13215,White,2020,50,2325,21.51,10.52
"Paulding County, GA",13223,Black or African American,2020,16,1634,9.79,9.62
"Paulding County, GA",13223,White,2020,42,4067,10.33,12.6
"Richmond County, GA",13245,Black or African American,2020,153,4171,36.68,10.4
"Richmond County, GA",13245,White,2020,36,1625,22.15,10.14
"Whitfield County, GA",13313,White,2020,98,3345,29.3,10.94
"Unidentified Counties, GA",13999,Black or African American,2020,1044,33898,30.8,10.16
"Unidentified Counties, GA",13999,Native Hawaiian or Other Pacific Islander,2020,12,253,47.43,6.5
"Unidentified Counties, GA",13999,White,2020,1671,75955,22,10.83
"Hawaii County, HI",15001,Native Hawaiian or Other Pacific Islander,2020,18,906,19.87,5.38
"Hawaii County, HI",15001,White,2020,11,992,11.09,6.6
"Honolulu County, HI",15003,Asian,2020,32,8198,3.9,7.38
"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,2020,70,3112,22.49,5.99
"Honolulu County, HI",15003,White,2020,46,3703,12.42,11.11
"Maui County, HI",15009,Native Hawaiian or Other Pacific Islander,2020,10,631,15.85,6.17
